All CurrenciesTable,,,,,,,,,
Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr),1h,24h,7d
288,ColossusCoinXT,COLX,28387204.2099,0.00264689,10724738923.8,102666.0,-13.67,-9.01,-30.78
289,Zeusshield,ZSC,27970502.8563,0.0242553,1153170765.0,987614.0,-3.26,-2.46,-22.67
290,SHIELD,XSH,27878839.1893,0.0578744,481712798.6,114674.0,0.29,10.2,1.75
291,Unobtanium,UNO,27767969.1818,140.105,198193.9915,16831.5,-0.59,9.33,7.42
292,Moeda Loyalty...,MDA,27695183.2347,1.41094,19628888.0,532743.0,-0.54,12.81,-6.38
293,Matchpool,GUP,27608550.0,0.368114,75000000.0,7811920.0,-1.53,25.88,12.76
294,Phore,PHR,27206689.1288,3.23758,8403402.89,81973.7,2.79,16.35,26.03
295,Bodhi,BOT,27109000.0,0.677725,40000000.0,211691.0,1.91,7.98,2.31
296,LEOcoin,LEO,27051087.3327,0.276641,97784085.9911,17798.2,-0.68,3.18,7.58
297,Olympus Labs,MOT,26985779.4094,0.759027,35553121.8381,1233000.0,2.42,7.34,-5.16
298,BitClave,CAT,26772054.5734,0.0533952,501394405.7,522981.0,-1.79,-6.16,-9.68
299,DomRaider,DRT,26703799.85,0.0451459,591500000.0,4179.22,-0.59,11.19,-15.16
300,Propy,PRO,26643939.2818,1.59719,16681759.3911,10080900.0,-0.83,7.95,-7.21
